0,Consultant,Main New Gloss.1,Gloss Variant,D Start HS,N-D Start HS,D End HS,N-D End HS,Passive Arm,Session,Scene,Start,End,vid_links
33,Brady,ONE,ONE,1,,1,,N,ASL_2011_06_08_Brady,4,4203,4214,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16190.mov
34,Lana,ONE,ONE,1,,1,,N,ASL_2006_10_10,20,1338,1366,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Lana_16190.mov
35,Dana,ONE,ONE,1,,1,,N,ASL_2007_05_24,22,1269,1277,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Dana_16190.mov
36,Naomi,ONE,ONE_2,D,,D,,N,ASL_2008_08_04,3,1626,1650,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16235.mov
37,Liz,A,A,A,,A,,N,ASL_2008_01_11,4,2345,2370,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_27.mov
38,Tyler,A,A,A,,A,,N,ASL_2008_05_12a,3,1550,1600,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_27.mov
39,Naomi,A,A,A,,A,,N,ASL_2008_08_04,3,1830,1850,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_27.mov
40,Brady,A,A,A,,A,,N,ASL_2011_06_08_Brady,6,7024,7048,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_27.mov
41,Liz,LITTLE-BIT,LITTLE-BIT,X-over-thumb,,10,,N,ASL_2008_01_11,4,3030,3056,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_28.mov
42,Tyler,LITTLE-BIT,LITTLE-BIT++,X-over-thumb,,A,,N,ASL_2008_05_12a,3,1790,1850,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_28.mov
43,Naomi,LITTLE-BIT,LITTLE-BIT,X-over-thumb,,10,,N,ASL_2008_08_04,3,2040,2066,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_28.mov
44,Brady,LITTLE-BIT,LITTLE-BIT,X-over-thumb,,10,,N,ASL_2011_06_08_Brady,6,7322,7339,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_28.mov
45,Liz,ABANDON,ABANDON,S,S,5,5,N,ASL_2008_01_11,5,180,206,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_30.mov
46,Tyler,ABANDON,ABANDON,S,S,5,5,N,ASL_2008_05_12a,3,2227,2249,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_30.mov
47,Brady,ABANDON,ABANDON,S,S,5,5,N,ASL_2011_06_08_Brady,6,7839,7854,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_30.mov
48,Naomi,THROW-AWAY,THROW-AWAY,cocked-S,cocked-S,1,1,N,ASL_2008_08_04,3,2768,2786,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_5083.mov
49,Liz,ABORTION,ABORTION,crvd-5,B-L,5,B-L,N,ASL_2008_01_11,5,450,480,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_31.mov
50,Naomi,ABORTION,ABORTION_2,5-C-L,5,5,5,N,ASL_2008_08_04,4,548,575,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3908.mov
51,Liz,ABORTION,(1h)ABORTION,5,,5,,N,ASL_2010_08_10_Liz_additional_lexicon_signs,5,1098,1163,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_5084.mov
52,Tyler,ABORTION,(S)ABORTION,S,B-L,crvd-5,B-L,N,ASL_2008_05_12a,4,375,400,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16194.mov
53,Liz,ABOVE,ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2008_01_11,5,1296,1325,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_33.mov
54,Naomi,ABOVE,ABOVE_2,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2008_08_04,4,2288,2317,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_3566.mov
55,Tyler,ABOVE,ABOVE_3,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2008_05_12a,4,772,810,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15305.mov
56,Tyler,ABOVE,ABOVE_3,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2008_05_12a,4,969,1006,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15313.mov
57,Liz,EXCEED,EXCEED,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2008_01_11,5,1000,1031,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15527.mov
58,Liz,EXCEED,EXCEED,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2008_01_18,35,1580,1615,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15538.mov
59,Naomi,EXCEED,EXCEED,bent-B,bent-B,bent-B,bent-B,N,ASL_2008_08_06,35,1402,1421,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15527.mov
60,Brady,EXCEED,EXCEED,bent-B,bent-B,bent-B,bent-B,N,ASL_2011_06_14_Brady,14,3085,3105,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15527.mov
61,Liz,A-LEVEL-ABOVE,A-LEVEL-ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2008_02_15,50,420,450,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15571.mov
62,Brady,A-LEVEL-ABOVE,A-LEVEL-ABOVE,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2011_07_19_Brady,44,3575,3594,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15571.mov
63,Liz,ADULT-TALL,ADULT,bent-B-L,,bent-B-L,,N,ASL_2008_03_28,4,2781,2801,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15604.mov
64,Liz,ADULT-TALL,ADULT,bent-B-L,,bent-B-L,,N,ASL_2010_08_10_Liz_additional_lexicon_signs,1,785,830,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15767.mov
65,Brady,ADULT-TALL,ADULT,bent-B-L,,bent-B-L,,N,ASL_2011_07_19_Brady,109,517,535,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15604.mov
66,Liz,ADULT-TALL,ADULT-pl,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2010_08_10_Liz_additional_lexicon_signs,1,980,1011,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15768.mov
67,Liz,ADULT-TALL,ADULT-TALL,bent-B-L,,bent-B-L,,N,ASL_2008_02_01,4,1850,1915,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15769.mov
68,Tyler,ADULT-TALL,ADULT-TALL,bent-B-L,,bent-B-L,,N,ASL_2008_05_29a,36,1260,1305,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15769.mov
69,Naomi,ADULT-TALL,ADULT-TALL,bent-B-L,,bent-B-L,,N,ASL_2008_08_13,4,2690,2720,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15769.mov
70,Brady,ADULT-TALL,ADULT-TALL,bent-B-L,,bent-B-L,,N,ASL_2011_06_14_Brady,25,5150,5178,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15769.mov
71,Liz,CHILD,CHILD+,B-L,,B-L,,N,ASL_2008_01_11,74,1011,1051,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_15770.mov
72,Naomi,CHILD,CHILD+,B-L,,B-L,,N,ASL_2008_08_04,47,800,830,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15770.mov
73,Brady,CHILD,CHILD+,B-L,,B-L,,N,ASL_2011_06_08_Brady,27,6903,6925,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_15770.mov
74,Tyler,CHILD,CHILDREN++,B-L,B-L,B-L,B-L,N,ASL_2008_05_12a,45,651,682,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15873.mov
75,Tyler,CHILD,CHILDREN++,B-L,B-L,B-L,B-L,N,ASL_2008_05_12a,45,910,941,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_15993.mov
76,Naomi,CHILD,CHILDREN+,B-L,B-L,B-L,B-L,N,ASL_2008_08_04,47,1035,1060,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_15873.mov
77,Liz,CHILD,(1h)CHILDREN+,B-L,,B-L,,N,ASL_2008_01_11,74,1255,1290,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16043.mov
78,Brady,CHILD,(1h)CHILDREN++,B-L,,B-L,,N,ASL_2011_06_08_Brady,27,7121,7150,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16043.mov
79,Liz,GROW-UP,GROW-UP,B-L,,B-L,,N,ASL_2008_02_29,5,2775,2835,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16044.mov
80,Brady,GROW-UP,GROW-UP,bent-B,,bent-B,,N,ASL_2011_07_19_Brady,50,1802,1831,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16044.mov
81,Liz,MAXIMUM,MAXIMUM,B-L,B-L,B-L,B-L,N,ASL_2008_02_15,5,2655,2710,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16085.mov
82,Tyler,MAXIMUM,MAXIMUM++,B-L,B-L,B-L,B-L,N,ASL_2008_06_10,15,1820,1860,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16085.mov
83,Naomi,MORE-THAN,MORE-THAN,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2008_08_04,4,2657,2675,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16093.mov
84,Liz,LESS-THAN,LESS-THAN,bent-B,bent-B,bent-B,bent-B,N,ASL_2008_01_11,40,495,520,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16094.mov
85,Tyler,LESS-THAN,LESS-THAN,bent-B-L,bent-B-L,B-L,bent-B-L,N,ASL_2008_05_12a,25,3850,3876,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16094.mov
86,Naomi,LESS-THAN,LESS-THAN,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2008_08_04,26,3140,3165,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16094.mov
87,Naomi,LESS-THAN,LESS-THAN,bent-B-L,bent-B-L,B-L,bent-B-L,N,ASL_2008_08_04,26,3380,3400,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16095.mov
88,Brady,LESS-THAN,LESS-THAN,bent-B-L,bent-B-L,bent-B-L,bent-B-L,N,ASL_2011_06_08_Brady,19,5325,5353,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16094.mov
89,Liz,THAN,THAN,B,B,B,Rlxd,N,ASL_2008_03_28,8,2316,2329,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16096.mov
90,Brady,THAN,THAN,B-L,bent-B-L,B-L,bent-B-L,N,ASL_2011_07_19_Brady,112,2328,2339,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16096.mov
91,Liz,UNDER,UNDER,10,B-L,10,B-L,N,ASL_2008_03_28,27,1360,1390,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16097.mov
92,Brady,UNDER,UNDER,10,B-L,10,B-L,N,ASL_2011_07_22_Brady,15,2378,2396,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16097.mov
93,Brady,UNDER,UNDER,10,B-L,10,B-L,N,ASL_2011_07_22_Brady,56,1880,1900,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16098.mov
94,Tyler,BASEMENT,BASEMENT+,10,B-L,10,B-L,N,ASL_2008_05_12a,21,715,760,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16162.mov
95,Naomi,BASEMENT,BASEMENT+,10,B-L,10,B-L,N,ASL_2008_08_04,21,1422,1470,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16162.mov
96,Brady,BASEMENT,BASEMENT+,10,flat-B,10,10,N,ASL_2011_06_08_Brady,16,8165,8191,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16162.mov
97,Liz,UPPER,UPPER,B-L,,B-L,,N,ASL_2008_03_28,28,2505,2535,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16163.mov
98,Brady,UPPER,UPPER,B,,B,,N,ASL_2011_07_22_Brady,17,964,994,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16163.mov
99,Liz,BELOW,BELOW,B,B-L,B-L,B-L,N,ASL_2008_01_11,40,725,751,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16164.mov
100,Tyler,BELOW,BELOW,B-L,B-L,B-L,B-L,N,ASL_2008_05_12a,25,3530,3556,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16164.mov
101,Brady,BELOW,BELOW,B,bent-B-L,B,bent-B-L,N,ASL_2011_06_08_Brady,19,5860,5887,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16164.mov
102,Brady,BELOW,BELOW,B,B-L,B,B-L,N,ASL_2011_07_22_Brady,38,2532,2564,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16165.mov
103,Naomi,BELOW_2,BELOW_2+,B-L,B-L,B-L,B-L,N,ASL_2008_08_04,22,860,908,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16195.mov
104,Brady,BELOW_2,BELOW_2+,B-L,B-L,B-L,B-L,N,ASL_2011_06_08_Brady,16,8461,8496,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16195.mov
105,Liz,ELEMENTARY,ELEMENTARY,E,flat-B,E,flat-B,N,ASL_2008_01_18,30,705,745,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_16196.mov
106,Tyler,ELEMENTARY,ELEMENTARY++,loose-E,B-L,loose-E,B-L,N,ASL_2008_05_29a,10,470,515,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_16196.mov
107,Naomi,ELEMENTARY,ELEMENTARY++,loose-E,B-L,loose-E,B-L,N,ASL_2008_08_06,30,581,616,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Naomi_16196.mov
108,Brady,ELEMENTARY,ELEMENTARY++,E,B-L,E,B-L,N,ASL_2011_06_14_Brady,11,2250,2282,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Brady_16196.mov
109,Liz,ACCEPT,ACCEPT,5,5,flat-O,flat-O,N,ASL_2008_01_11,5,1565,1605,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Liz_35.mov
110,Tyler,ACCEPT,ACCEPT,5,5,flat-O,flat-O,N,ASL_2008_05_12a,4,1351,1375,http://csr.bu.edu/ftp/asl/asllvd/demos/verify_start_end_handshape_annotations//test_auto_move//signs_mov_separ_signers/Tyler_35.mov
